phrase,severity,category
nothing matters anymore tbh asap,96,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything literally right now,95,Domestic risk - requires attention based on phrasing and urgency
I wanna end it lowkey today,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much literally asap,52,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone literally soon,90,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it seriously tonight,78,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything idk today,86,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone literally soon,91,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore idk today,93,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore fr asap,93,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore fr right now,91,Threat to others - requires attention based on phrasing and urgency
I wanna end it seriously soon,53,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here lowkey soon,97,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it idk soon,99,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me literally right now,100,Threat to others - requires attention based on phrasing and urgency
I took too much fr right now,100,Threat to others - requires attention based on phrasing and urgency
they keep hurting me literally today,65,Emotional distress - requires attention based on phrasing and urgency
I took too much idk tonight,92,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore literally tonight,73,Substance crisis - requires attention based on phrasing and urgency
I took too much literally asap,94,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here lowkey today,62,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh soon,83,Threat to others - requires attention based on phrasing and urgency
they keep hurting me ngl soon,63,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here idk right now,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey soon,83,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore tbh soon,94,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore seriously soon,56,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone idk asap,71,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me idk today,89,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me literally right now,74,Passive ideation - requires attention based on phrasing and urgency
I feel empty seriously today,95,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore fr soon,83,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it seriously right now,92,Threat to others - requires attention based on phrasing and urgency
I feel empty fr right now,96,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore fr tonight,100,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore ngl right now,60,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything seriously asap,90,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me seriously asap,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty highkey asap,93,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here idk tonight,81,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here highkey soon,92,Threat to others - requires attention based on phrasing and urgency
they keep hurting me idk right now,77,Passive ideation - requires attention based on phrasing and urgency
I wanna end it idk tonight,92,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it fr tonight,90,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore ngl today,87,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it highkey right now,95,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it fr today,86,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here ngl right now,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here tbh soon,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone fr right now,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here seriously right now,82,Substance crisis - requires attention based on phrasing and urgency
I wanna end it seriously tonight,74,Substance crisis - requires attention based on phrasing and urgency
I feel empty ngl soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything idk tonight,61,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here ngl today,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it ngl soon,80,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh tonight,100,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore literally today,91,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here ngl asap,87,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here fr today,90,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore idk today,91,Threat to others - requires attention based on phrasing and urgency
life ain't worth it idk asap,69,Emotional distress - requires attention based on phrasing and urgency
I feel empty lowkey today,87,Threat to others - requires attention based on phrasing and urgency
I feel empty highkey asap,53,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here ngl today,99,Threat to others - requires attention based on phrasing and urgency
I took too much tbh asap,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it tbh today,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything tbh today,59,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore tbh today,97,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here highkey tonight,76,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything literally tonight,76,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it highkey asap,96,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore ngl tonight,69,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it literally asap,100,Threat to others - requires attention based on phrasing and urgency
I'm done with everything ngl right now,75,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,74,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore idk soon,79,Emotional distress - requires attention based on phrasing and urgency
I wanna end it tbh right now,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it lowkey soon,99,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me tbh right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me literally right now,76,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore lowkey tonight,71,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore literally tonight,79,Passive ideation - requires attention based on phrasing and urgency
I wanna end it fr tonight,60,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it highkey soon,61,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone fr tonight,73,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me highkey soon,58,Emotional distress - requires attention based on phrasing and urgency
I wanna end it fr asap,68,Passive ideation - requires attention based on phrasing and urgency
I feel empty idk today,95,Threat to others - requires attention based on phrasing and urgency
I took too much tbh right now,90,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore literally right now,84,Passive ideation - requires attention based on phrasing and urgency
I wanna end it ngl soon,80,Threat to others - requires attention based on phrasing and urgency
I'm done with everything lowkey right now,82,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here seriously today,95,Imminent self-harm - requires attention based on phrasing and urgency
I took too much lowkey tonight,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey right now,58,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously soon,96,Threat to others - requires attention based on phrasing and urgency
I took too much lowkey asap,75,Emotional distress - requires attention based on phrasing and urgency
I took too much ngl today,91,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore ngl tonight,97,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me tbh asap,96,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey asap,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey tonight,78,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it highkey asap,88,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything lowkey asap,85,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh asap,89,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here lowkey right now,82,Threat to others - requires attention based on phrasing and urgency
I'm done with everything idk soon,79,Passive ideation - requires attention based on phrasing and urgency
I took too much literally tonight,92,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything fr soon,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here lowkey right now,80,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything highkey tonight,74,Domestic risk - requires attention based on phrasing and urgency
I feel empty fr today,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore highkey right now,90,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore seriously asap,95,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore ngl tonight,98,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here lowkey tonight,81,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me fr today,96,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything literally asap,85,Threat to others - requires attention based on phrasing and urgency
life ain't worth it lowkey right now,76,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,66,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here highkey soon,70,Domestic risk - requires attention based on phrasing and urgency
I feel empty fr soon,66,Emotional distress - requires attention based on phrasing and urgency
I took too much highkey tonight,78,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore fr tonight,72,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it tbh asap,72,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl asap,60,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it idk soon,87,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore tbh tonight,94,Domestic risk - requires attention based on phrasing and urgency
I wanna end it fr right now,81,Threat to others - requires attention based on phrasing and urgency
I'm done with everything highkey right now,54,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore idk today,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything idk right now,94,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me tbh right now,99,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it highkey soon,99,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me lowkey right now,70,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore tbh today,85,Domestic risk - requires attention based on phrasing and urgency
I took too much tbh tonight,70,Emotional distress - requires attention based on phrasing and urgency
I wanna end it highkey soon,53,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it highkey today,99,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,98,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore ngl asap,63,Substance crisis - requires attention based on phrasing and urgency
I feel empty fr right now,68,Substance crisis - requires attention based on phrasing and urgency
I wanna end it tbh tonight,75,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it ngl soon,94,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything seriously soon,61,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore idk asap,89,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore literally soon,94,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here highkey right now,93,Threat to others - requires attention based on phrasing and urgency
life ain't worth it lowkey soon,53,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it ngl soon,90,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore tbh asap,97,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore tbh tonight,84,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me tbh tonight,53,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me highkey asap,85,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore ngl tonight,74,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything lowkey soon,67,Substance crisis - requires attention based on phrasing and urgency
I took too much seriously asap,85,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here literally asap,58,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here literally soon,77,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here highkey asap,71,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything highkey today,75,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore literally soon,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone literally today,72,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore fr right now,55,Emotional distress - requires attention based on phrasing and urgency
I feel empty literally tonight,82,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore literally tonight,56,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it lowkey right now,83,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore seriously soon,66,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything highkey asap,93,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it fr tonight,85,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it tbh asap,92,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything seriously soon,98,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything lowkey tonight,98,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me highkey today,95,Threat to others - requires attention based on phrasing and urgency
life ain't worth it literally soon,74,Emotional distress - requires attention based on phrasing and urgency
I feel empty literally asap,68,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,90,Threat to others - requires attention based on phrasing and urgency
I feel empty seriously right now,98,Threat to others - requires attention based on phrasing and urgency
I took too much idk right now,83,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore tbh asap,91,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore literally tonight,65,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it fr asap,91,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,58,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore literally right now,83,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh tonight,67,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it fr soon,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything highkey right now,91,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it literally tonight,96,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone literally tonight,72,Substance crisis - requires attention based on phrasing and urgency
I took too much tbh right now,88,Threat to others - requires attention based on phrasing and urgency
I'm done with everything fr soon,95,Domestic risk - requires attention based on phrasing and urgency
I wanna end it tbh today,97,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here lowkey tonight,77,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me literally soon,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore seriously soon,84,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore lowkey today,57,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me ngl soon,70,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey asap,61,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,98,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore idk today,85,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk tonight,56,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore idk today,71,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore fr asap,74,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone fr asap,80,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone fr right now,84,Threat to others - requires attention based on phrasing and urgency
I feel empty ngl right now,79,Emotional distress - requires attention based on phrasing and urgency
I wanna end it tbh asap,100,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me tbh asap,60,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me lowkey asap,70,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here seriously soon,87,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore highkey soon,95,Imminent self-harm - requires attention based on phrasing and urgency
I took too much lowkey tonight,78,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey tonight,94,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,52,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,86,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore seriously today,90,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything literally asap,99,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here fr right now,60,Substance crisis - requires attention based on phrasing and urgency
I wanna end it fr soon,72,Domestic risk - requires attention based on phrasing and urgency
I wanna end it tbh right now,99,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore tbh right now,72,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me tbh asap,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore highkey soon,79,Emotional distress - requires attention based on phrasing and urgency
I wanna end it seriously today,86,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me idk right now,83,Threat to others - requires attention based on phrasing and urgency
I took too much lowkey asap,85,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here literally asap,79,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here seriously tonight,73,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything highkey asap,75,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it idk today,68,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore highkey today,90,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore tbh tonight,86,Domestic risk - requires attention based on phrasing and urgency
I wanna end it seriously right now,93,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty tbh soon,64,Substance crisis - requires attention based on phrasing and urgency
I took too much tbh right now,84,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore fr soon,93,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore highkey today,65,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,81,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it ngl right now,90,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey today,100,Imminent self-harm - requires attention based on phrasing and urgency
I took too much literally tonight,66,Passive ideation - requires attention based on phrasing and urgency
I feel empty seriously today,73,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore lowkey soon,97,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore lowkey soon,64,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me lowkey asap,55,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me seriously today,95,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore highkey soon,84,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,81,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here tbh today,76,Passive ideation - requires attention based on phrasing and urgency
I wanna end it seriously asap,78,Passive ideation - requires attention based on phrasing and urgency
I wanna end it literally asap,90,Passive ideation - requires attention based on phrasing and urgency
I wanna end it literally today,87,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it seriously right now,82,Substance crisis - requires attention based on phrasing and urgency
I took too much seriously right now,82,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,67,Substance crisis - requires attention based on phrasing and urgency
I wanna end it seriously asap,77,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything literally soon,89,Domestic risk - requires attention based on phrasing and urgency
I took too much highkey right now,91,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,57,Emotional distress - requires attention based on phrasing and urgency
I wanna end it lowkey right now,85,Domestic risk - requires attention based on phrasing and urgency
I wanna end it seriously soon,78,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me tbh asap,78,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it highkey asap,94,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey today,99,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty idk asap,94,Threat to others - requires attention based on phrasing and urgency
I took too much idk today,94,Threat to others - requires attention based on phrasing and urgency
I took too much tbh soon,88,Threat to others - requires attention based on phrasing and urgency
I'm done with everything highkey tonight,86,Threat to others - requires attention based on phrasing and urgency
I'm done with everything literally right now,91,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore seriously asap,65,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me highkey soon,70,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it literally right now,83,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore literally soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything idk soon,95,Domestic risk - requires attention based on phrasing and urgency
I took too much literally today,77,Emotional distress - requires attention based on phrasing and urgency
I feel empty seriously asap,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything idk tonight,67,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone literally tonight,92,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh today,90,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously asap,81,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,84,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it seriously asap,84,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything highkey today,80,Passive ideation - requires attention based on phrasing and urgency
I wanna end it lowkey tonight,71,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here ngl today,89,Threat to others - requires attention based on phrasing and urgency
I took too much idk soon,98,Threat to others - requires attention based on phrasing and urgency
they keep hurting me seriously soon,75,Emotional distress - requires attention based on phrasing and urgency
I took too much tbh today,62,Substance crisis - requires attention based on phrasing and urgency
I took too much ngl tonight,71,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore highkey tonight,93,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it fr soon,97,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore fr asap,95,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore idk right now,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here tbh soon,95,Threat to others - requires attention based on phrasing and urgency
I took too much idk right now,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone literally right now,78,Emotional distress - requires attention based on phrasing and urgency
I wanna end it ngl asap,69,Emotional distress - requires attention based on phrasing and urgency
I wanna end it tbh today,96,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore ngl tonight,88,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,95,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore ngl today,80,Threat to others - requires attention based on phrasing and urgency
they keep hurting me literally asap,94,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,86,Threat to others - requires attention based on phrasing and urgency
life ain't worth it fr asap,79,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here literally today,56,Emotional distress - requires attention based on phrasing and urgency
I feel empty seriously today,97,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it tbh right now,51,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh right now,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much fr tonight,91,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here tbh right now,95,Domestic risk - requires attention based on phrasing and urgency
I feel empty ngl asap,96,Threat to others - requires attention based on phrasing and urgency
life ain't worth it tbh tonight,93,Threat to others - requires attention based on phrasing and urgency
life ain't worth it idk right now,85,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here idk soon,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty highkey right now,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything literally right now,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,65,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here literally soon,88,Domestic risk - requires attention based on phrasing and urgency
I took too much lowkey right now,64,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it ngl asap,86,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh tonight,93,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty literally right now,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything seriously asap,60,Substance crisis - requires attention based on phrasing and urgency
I took too much seriously today,86,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it tbh asap,52,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here seriously asap,90,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore idk today,86,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey right now,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much idk asap,96,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me fr soon,86,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it tbh right now,78,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,72,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore tbh asap,90,Domestic risk - requires attention based on phrasing and urgency
I feel empty idk right now,70,Substance crisis - requires attention based on phrasing and urgency
I took too much literally tonight,81,Passive ideation - requires attention based on phrasing and urgency
I feel empty idk today,76,Emotional distress - requires attention based on phrasing and urgency
I feel empty literally tonight,58,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it tbh soon,100,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore tbh right now,95,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything lowkey asap,87,Domestic risk - requires attention based on phrasing and urgency
I wanna end it highkey today,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore idk soon,84,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here fr right now,87,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone idk today,88,Threat to others - requires attention based on phrasing and urgency
I feel empty highkey asap,68,Substance crisis - requires attention based on phrasing and urgency
I took too much lowkey soon,88,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore lowkey asap,72,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here seriously right now,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here fr right now,79,Emotional distress - requires attention based on phrasing and urgency
I wanna end it highkey tonight,91,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here literally soon,77,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore lowkey soon,95,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey asap,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much tbh tonight,67,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore ngl today,77,Domestic risk - requires attention based on phrasing and urgency
I wanna end it literally today,93,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me literally asap,95,Imminent self-harm - requires attention based on phrasing and urgency
I took too much lowkey tonight,78,Substance crisis - requires attention based on phrasing and urgency
I took too much ngl today,75,Passive ideation - requires attention based on phrasing and urgency
I feel empty fr asap,88,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here ngl tonight,100,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here highkey asap,64,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore idk soon,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here fr asap,85,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here highkey today,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it ngl tonight,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything tbh tonight,80,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here seriously soon,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore idk today,55,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,91,Threat to others - requires attention based on phrasing and urgency
